State,All,Tornado,Wind,Hail,Year,Month
19,48,0,48,0,0,9
20,2,0,2,0,0,9
21,3,0,3,0,0,9
23,27,0,27,0,0,9
24,58,8,44,6,0,9
25,2,0,2,0,0,9
29,39,1,38,0,0,9
30,3,1,0,2,0,9
31,23,0,22,1,0,9
32,66,2,64,0,0,9
35,70,6,36,28,0,9
37,69,1,68,0,0,9
38,1,1,0,0,0,9
39,27,3,24,0,0,9
41,43,2,40,1,0,9
42,110,14,63,33,0,9
45,83,3,80,0,0,9
46,2,2,0,0,0,9
47,17,0,17,0,0,9
48,9,2,5,2,0,9
49,1,0,1,0,0,9
0,3,2,1,0,1,9
3,1,0,1,0,1,9
5,1,0,1,0,1,9
6,9,0,9,0,1,9
8,1,0,1,0,1,9
9,17,7,10,0,1,9
12,1,0,1,0,1,9
13,16,0,10,6,1,9
14,15,0,13,2,1,9
15,1,0,1,0,1,9
16,7,0,6,1,1,9
18,3,0,1,2,1,9
20,51,1,50,0,1,9
21,14,0,12,2,1,9
22,7,0,5,2,1,9
23,7,3,4,0,1,9
24,1,0,1,0,1,9
26,39,0,32,7,1,9
28,12,0,10,2,1,9
31,65,1,63,1,1,9
32,3,1,2,0,1,9
34,18,0,14,4,1,9
38,4,0,4,0,1,9
39,8,3,5,0,1,9
40,4,0,0,4,1,9
41,3,0,1,2,1,9
42,3,0,3,0,1,9
44,8,0,8,0,1,9
46,1,1,0,0,1,9
48,1,0,0,1,1,9
0,117,38,62,17,0,2
3,36,3,23,10,0,2
4,4,3,1,0,0,2
5,6,2,2,2,0,2
6,1,0,0,1,0,2
8,46,9,24,13,0,2
9,91,37,31,23,0,2
12,12,0,5,7,0,2
13,41,4,23,14,0,2
15,9,0,2,7,0,2
16,38,10,24,4,0,2
17,19,4,11,4,0,2
19,9,0,9,0,0,2
21,21,4,9,8,0,2
23,37,4,24,9,0,2
24,40,5,14,21,0,2
26,9,0,1,8,0,2
29,6,0,4,2,0,2
30,16,2,5,9,0,2
31,2,0,2,0,0,2
34,61,2,46,13,0,2
35,47,0,12,35,0,2
37,5,0,4,1,0,2
39,17,5,12,0,0,2
41,28,2,26,0,0,2
42,184,11,110,63,0,2
45,17,0,17,0,0,2
0,35,0,35,0,0,6
2,18,1,16,1,0,6
3,13,0,13,0,0,6
4,3,0,3,0,0,6
5,115,2,31,82,0,6
6,13,0,12,1,0,6
7,6,0,6,0,0,6
8,56,1,49,6,0,6
9,50,0,48,2,0,6
11,18,0,13,5,0,6
12,48,0,45,3,0,6
13,39,0,38,1,0,6
14,76,3,68,5,0,6
15,110,3,85,22,0,6
16,46,0,44,2,0,6
17,13,4,9,0,0,6
18,41,0,32,9,0,6
19,116,0,116,0,0,6
20,66,3,60,3,0,6
21,121,0,116,5,0,6
22,231,21,144,66,0,6
23,31,2,28,1,0,6
24,31,0,29,2,0,6
25,170,2,83,85,0,6
26,119,5,61,53,0,6
27,1,0,1,0,0,6
28,12,0,8,4,0,6
29,96,2,91,3,0,6
30,8,2,4,2,0,6
31,158,0,153,5,0,6
32,129,1,120,8,0,6
33,135,8,56,71,0,6
34,164,0,160,4,0,6
35,35,0,22,13,0,6
36,1,1,0,0,0,6
37,189,0,188,1,0,6
38,3,0,3,0,0,6
39,94,0,93,1,0,6
40,311,7,189,115,0,6
41,12,0,11,1,0,6
42,58,2,39,17,0,6
43,9,0,9,0,0,6
44,16,0,16,0,0,6
45,228,0,222,6,0,6
46,9,0,9,0,0,6
47,31,0,28,3,0,6
48,163,23,130,10,0,6
49,132,10,47,75,0,6
0,99,36,59,4,3,2
3,43,12,30,1,3,2
5,1,0,1,0,3,2
6,1,0,1,0,3,2
7,1,0,1,0,3,2
8,92,21,65,6,3,2
9,33,2,18,13,3,2
12,81,6,74,1,3,2
13,71,3,64,4,3,2
14,64,35,16,13,3,2
15,14,1,10,3,3,2
16,44,4,36,4,3,2
17,65,21,39,5,3,2
19,27,0,26,1,3,2
20,19,0,19,0,3,2
21,2,0,2,0,3,2
23,203,73,128,2,3,2
24,41,3,20,18,3,2
26,2,0,1,1,3,2
28,12,0,12,0,3,2
29,21,0,21,0,3,2
30,1,0,1,0,3,2
31,52,0,52,0,3,2
32,50,3,47,0,3,2
34,28,5,19,4,3,2
35,30,6,12,12,3,2
37,119,2,116,1,3,2
39,10,0,5,5,3,2
41,30,3,27,0,3,2
42,164,53,61,50,3,2
44,4,0,4,0,3,2
45,11,3,8,0,3,2
47,14,0,8,6,3,2
48,6,1,4,1,3,2
0,24,7,15,2,4,11
2,2,0,2,0,4,11
3,4,0,1,3,4,11
4,3,1,2,0,4,11
8,11,2,9,0,4,11
